id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
912444738418372014,Polanco - Amplio 3 recámaras Estacionamiento,35255741,Juan,,Miguel Hidalgo,19.43646,-99.209095,Entire home/apt,1473,1,72,2024-06-10,5.71,28,337,69,
911617472028149832,Beautiful Apartment in the heart of Mexico City,311642374,Alonso,,Cuauhtémoc,19.4309048,-99.1511067,Entire home/apt,976,1,41,2024-06-22,3.54,3,343,41,
912448743996784238,Departamento en el corazón de la Roma,9361904,Isabel,,Cuauhtémoc,19.41824167749156,-99.15640535396727,Private room,300,1,0,,,1,230,0,
911625013259586620,Comfortable Accommodation in Colonia Condesa I 601,245618000,Alejandra,,Cuauhtémoc,19.40761,-99.1749,Entire home/apt,1673,1,49,2024-06-08,4.22,100,90,49,
912484308791873099,Departamento completo en residencial,371986157,Suzanne,,Benito Juárez,19.3861501,-99.1608275,Entire home/apt,1150,1,35,2024-05-22,2.85,1,147,34,
911669558305576674,Comfortable Accommodation in Colonia Condesa I 602,245618000,Alejandra,,Cuauhtémoc,19.40755,-99.17312,Entire home/apt,1367,1,57,2024-06-23,4.71,100,94,57,
911693947485560998,Glamping  Experience Condesa I 702,245618000,Alejandra,,Cuauhtémoc,19.40851,-99.17476,Entire home/apt,1090,1,40,2024-06-17,3.44,100,112,40,
912486719336415205,Luxurious Villa with 9 BR and HUGE Terrace Condesa,25505471,Remy,,Cuauhtémoc,19.407569061580467,-99.1717048116394,Entire home/apt,2967,3,43,2024-06-23,3.51,48,306,42,
911741200211317925,Glamping Experience Condesa I 701,245618000,Alejandra,,Cuauhtémoc,19.407006883627975,-99.17477192968346,Entire home/apt,1294,1,70,2024-06-15,6.02,100,104,70,
912499736165830990,Habitación cerca de Reforma 2,98913644,Ana Belen,,Cuauhtémoc,19.436480220954053,-99.16277007504569,Private room,450,1,12,2024-02-28,1.06,4,122,12,
911752005142092553,Chiltik tliltik Habitación y cocina,485129900,Mabel,,Xochimilco,19.26034,-99.09013,Private room,,1,3,2023-11-02,0.25,2,267,3,
912507796628713503,Casa de huéspedes Primer nivel. Habitación 1,220768680,Eloy,,Coyoacán,19.32754,-99.16169,Private room,220,3,9,2024-05-31,0.96,9,310,9,
911792760321495447,Apartment Zona Polanco,519490984,Ross,,Miguel Hidalgo,19.4429892,-99.201544,Entire home/apt,1656,2,14,2024-06-12,1.20,1,168,14,
912519157786546750,Hermoso departamento cerca deBasílica de Guadalupe,439894109,Grecia Judith,,Gustavo A. Madero,19.486239069391527,-99.11421337894998,Entire home/apt,690,4,15,2023-12-13,1.20,5,342,14,
911866062890099882,Habitación Céntrica,245649833,Enrique,,Cuauhtémoc,19.405590147327946,-99.14841449437377,Private room,200,3,3,2023-06-30,0.24,1,177,1,
912583885830829520,"Reforma, USA Embassy, Rio Papaloapan",70164764,Samantha,,Cuauhtémoc,19.42820681054653,-99.16631807290526,Entire home/apt,894,3,37,2024-06-18,3.10,1,70,37,
911871000228412879,Departamento moderno en CDMX,476416470,Fernanda,,Venustiano Carranza,19.4184448,-99.0949619,Entire home/apt,2857,1,6,2024-05-26,0.58,4,361,6,
912623494569938561,Amazing location and beautiful apartment/ 3BR,493658595,Juan Manuel,,Miguel Hidalgo,19.4001659,-99.1731855,Entire home/apt,1929,2,29,2024-05-20,2.30,1,121,28,
911875782735719633,Hab/priv/roma-condesa/escritorio/ventana/closet,469527331,Yazmin Giovanna,,Cuauhtémoc,19.4176291,-99.166524,Private room,400,1,47,2024-06-20,3.76,21,352,43,
914441339620209261,Room in Casa  estilo WabiSabi,35203230,Eugenio,,Cuauhtémoc,19.44421,-99.16164,Private room,800,1,0,,,9,179,0,
914443037806439902,"Safe, Relaxing Haven",129282902,Fer Y Omar,,Venustiano Carranza,19.41736,-99.10873,Entire home/apt,576,4,8,2024-04-21,0.71,17,89,8,
914495477065940922,Recámara matrimonial. 4,513191084,Diego Armando,,Cuauhtémoc,19.43181,-99.167656,Private room,528,1,18,2024-06-09,1.45,11,355,14,
912632202958100062,Duplex con terraza privada cerca de la Roma,137310820,Paraíso,,Benito Juárez,19.4012003,-99.1498957,Entire home/apt,1573,1,5,2023-11-21,0.41,9,177,5,
914523838746287651,Private room Roma Sur Solecito,116759375,Yunuen,,Cuauhtémoc,19.40897,-99.1627,Private room,346,1,23,2024-04-11,1.86,2,330,22,
912636061900772064,Depto entero Napoles/WTC/PEPSI,519715925,Angelica,,Benito Juárez,19.39846,-99.1747,Entire home/apt,570,2,37,2024-06-23,2.94,1,353,34,
914527991890951737,Lar Chipe - Loft de lujo.,520201222,Alejandro,,Miguel Hidalgo,19.43365,-99.21179749999999,Entire home/apt,1530,2,2,2023-10-29,0.20,1,364,2,
912645899705166046,Polanco! Renewed and Perfect Apt,41963013,Hector,,Miguel Hidalgo,19.4304567,-99.1889357,Entire home/apt,2020,4,24,2024-06-10,1.94,36,321,23,
914558411178940193,ElChamizal cien metros de relax,22825574,Luis Fernando,,Cuauhtémoc,19.454007705288145,-99.1378479078412,Entire home/apt,757,2,68,2024-06-24,5.64,1,75,68,
912700915647655828,Mini rooftop in Coyoacán,104697061,Kyra,,Coyoacán,19.34724,-99.17294,Entire home/apt,497,1,35,2024-06-07,2.84,5,305,33,
912881421565173039,"Spacious apartment in Amsterdam, heart of Condesa",493937808,Allan,,Cuauhtémoc,19.41215,-99.16655,Entire home/apt,1499,2,24,2024-05-18,1.95,2,43,23,
912918973148895858,Stylish Mexico City Appartment,78148043,Eli,,Cuauhtémoc,19.435111005637474,-99.15165268690244,Entire home/apt,1287,2,39,2024-06-22,3.10,1,44,34,
914589990708390292,Departamento en Ciudad de México,520220852,Miguel,,Cuauhtémoc,19.42958831950436,-99.14806606322936,Entire home/apt,,3,1,2023-07-02,0.08,1,0,1,
912938960682799864,"Positive Vibes Polanco 2BR Apt w/Gym, Pool, Padel",5126969,Jose Alfonso,,Miguel Hidalgo,19.445582064424134,-99.2018120232228,Entire home/apt,1499,1,9,2023-08-28,0.80,32,70,9,
